#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	186928	187695	+	BPMOEK_00173	24.7	11.8		SO:0001217, UniRef:UniRef50_A0A2C7ZAN3
contig_1	207125	208018	-	BPMOEK_00185	32.7	5.1		
contig_1	207987	208466	-	BPMOEK_00186	17.0	9.0		
contig_1	208935	209738	+	BPMOEK_00187	29.0	5.3	PF00532.27|Peripla_BP_1, PF13377.12|Peripla_BP_3	PFAM:PF00532.27, PFAM:PF13377.12
contig_2	2591	2962	+	BPMOEK_00190	13.3	9.2		
contig_2	15785	16057	-	BPMOEK_00199	10.6	4.7	PF13683.12|rve_3	PFAM:PF13683.12
contig_2	17224	18177	-	BPMOEK_00201	35.5	11.5	PF00665.32|rve, PF13276.12|HTH_21	PFAM:PF00665.32, PFAM:PF13276.12
contig_2	26732	27103	+	BPMOEK_00207	13.0	9.5		
contig_2	27446	27820	+	BPMOEK_00208	14.0	5.0		
contig_2	49543	50442	-	BPMOEK_00227	33.2	10.8	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_2	52058	52630	-	BPMOEK_00230	21.3	9.6	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF04545.22, PFAM:PF08281.18
contig_2	52627	53292	-	BPMOEK_00231	22.9	4.1		
contig_2	53366	53809	+	BPMOEK_00232	16.4	9.6		
contig_2	53813	54250	-	BPMOEK_00233	14.4	12.0		
contig_2	56870	58177	+	BPMOEK_00236	48.4	7.0		
contig_2	63761	64408	-	BPMOEK_00242	22.6	6.2	PF13338.12|AbiEi_4	PFAM:PF13338.12
contig_2	64663	64863	-	BPMOEK_00243	7.1	11.7		
contig_2	64949	65083	-	BPMOEK_00244	4.5	12.0		
contig_2	65155	65364	-	BPMOEK_00245	7.2	12.0		
contig_2	65399	65698	-	BPMOEK_00246	10.1	4.2		
contig_2	75338	75832	+	BPMOEK_00252	18.1	7.8	PF00440.29|TetR_N	PFAM:PF00440.29
contig_2	75811	75960	+	BPMOEK_00253	5.2	4.4		
contig_2	87846	88457	-	BPMOEK_00261	22.4	6.4	PF00929.31|RNase_T	PFAM:PF00929.31
contig_2	89815	90048	-	BPMOEK_00264	8.6	5.2	PF06902.16|Fer4_19	PFAM:PF06902.16
contig_2	90137	90364	-	BPMOEK_00265	8.5	6.7	PF14542.12|Acetyltransf_CG	PFAM:PF14542.12
contig_2	100037	100855	+	BPMOEK_00274	29.2	5.0	PF08501.16|Shikimate_dh_N	PFAM:PF08501.16
contig_2	102545	103633	+	BPMOEK_00277	37.9	8.4		
contig_2	103581	103841	+	BPMOEK_00278	8.4	5.5		
contig_2	117165	117524	+	BPMOEK_00290	13.0	9.4		
contig_2	120765	121142	+	BPMOEK_00293	14.4	9.8		
contig_2	128497	128895	-	BPMOEK_00299	13.9	5.4	PF01022.26|HTH_5, PF12840.13|HTH_20	PFAM:PF01022.26, PFAM:PF12840.13
contig_2	171508	172761	-	BPMOEK_00332	44.3	6.3	PF00070.33|Pyr_redox, PF01266.30|DAO, PF01593.30|Amino_oxidase, PF07992.20|Pyr_redox_2, PF13450.12|NAD_binding_8	PFAM:PF00070.33, PFAM:PF01266.30, PFAM:PF01593.30, PFAM:PF07992.20, PFAM:PF13450.12
contig_2	183473	183601	+	BPMOEK_00343	4.5	11.9		
contig_2	183688	183795	-	BPMOEK_00344	4.0	4.4		
contig_2	183817	185571	-	BPMOEK_00345	64.6	6.4		SO:0001217, UniRef:UniRef50_D7GGN7
contig_2	188404	189369	+	BPMOEK_00348	34.9	10.0		SO:0001217, UniRef:UniRef50_D7GGP1
contig_2	191731	192819	-	BPMOEK_00351	39.9	5.0		
contig_2	201681	202379	-	BPMOEK_00358	24.2	11.3		
contig_2	205255	205773	+	BPMOEK_00360	18.1	6.8		
contig_2	205814	206044	-	BPMOEK_00361	8.4	4.1		
contig_2	220092	220856	-	BPMOEK_00374	26.1	6.6		
contig_2	221907	223658	+	BPMOEK_00376	62.6	10.1		SO:0001217, UniRef:UniRef50_D7GIK5
contig_2	237441	238208	+	BPMOEK_00385	27.4	4.7		SO:0001217, UniRef:UniRef50_D7GIJ6
contig_2	247871	249193	-	BPMOEK_00392	46.2	9.0		SO:0001217, UniRef:UniRef50_D7GII9
contig_2	252693	254804	+	BPMOEK_00398	78.5	6.7		
contig_2	254819	254977	+	BPMOEK_00399	6.0	9.2		
contig_2	258357	258662	-	BPMOEK_00402	11.7	4.2		
contig_2	259634	259978	+	BPMOEK_00403	13.0	9.9		
contig_2	262079	262585	+	BPMOEK_00405	18.4	4.2		SO:0001217, UniRef:UniRef50_D7GIH6
contig_2	264589	265323	-	BPMOEK_00408	26.8	5.4	PF00107.32|ADH_zinc_N, PF13602.12|ADH_zinc_N_2	PFAM:PF00107.32, PFAM:PF13602.12
contig_2	265466	265603	-	BPMOEK_00409	4.6	4.9		
contig_2	265719	265961	-	BPMOEK_00410	8.7	5.8		SO:0001217, UniRef:UniRef50_D7GIH2
contig_2	266854	269199	+	BPMOEK_00412	86.9	6.1	PF00270.35|DEAD, PF00271.37|Helicase_C, PF13091.12|PLDc_2	PFAM:PF00270.35, PFAM:PF00271.37, PFAM:PF13091.12
contig_2	269196	270062	+	BPMOEK_00413	31.5	5.7		
contig_2	270548	270724	+	BPMOEK_00414	6.8	11.4		
contig_2	270957	271271	+	BPMOEK_00415	11.8	9.7		SO:0001217, UniRef:UniRef50_D7GIF7
contig_2	271501	271674	+	BPMOEK_00416	6.3	10.8		
contig_2	271715	272647	-	BPMOEK_00417	30.3	4.9		SO:0001217, UniRef:UniRef50_A0A0A8S0M3
contig_2	274240	274794	-	BPMOEK_00419	19.5	4.1		SO:0001217, UniRef:UniRef50_D7GIF2
contig_2	284850	285512	+	BPMOEK_00428	23.1	5.0		
contig_2	290414	290533	-	BPMOEK_00433	4.1	5.7		
contig_2	306179	306952	+	BPMOEK_00443	27.6	10.9		SO:0001217, UniRef:UniRef50_A0A0A8PMS2
contig_2	308767	309429	+	BPMOEK_00446	24.2	5.1	PF00857.26|Isochorismatase	PFAM:PF00857.26
contig_2	321205	322260	-	BPMOEK_00457	36.8	10.8		SO:0001217, UniRef:UniRef50_A0A0B7NUG3
contig_2	322448	322666	-	BPMOEK_00458	7.4	5.0	PF05532.17|CsbD	PFAM:PF05532.17
contig_2	331172	331375	+	BPMOEK_00466	7.5	4.9		
contig_2	337375	337527	+	BPMOEK_00471	5.6	4.3		
contig_2	351170	352168	-	BPMOEK_00482	35.1	4.7	PF01408.29|GFO_IDH_MocA, PF02894.22|GFO_IDH_MocA_C, PF22725.1|GFO_IDH_MocA_C3	PFAM:PF01408.29, PFAM:PF02894.22, PFAM:PF22725.1
contig_2	361397	362305	-	BPMOEK_00489	30.8	9.8		
contig_2	369011	370606	-	BPMOEK_00497	58.2	5.8	PF13193.12|AMP-binding_C	PFAM:PF13193.12
contig_2	379777	379938	-	BPMOEK_00507	6.0	8.2		
contig_2	380104	380649	-	BPMOEK_00508	19.7	6.2	PF00027.35|cNMP_binding, PF00325.26|Crp, PF13545.12|HTH_Crp_2	PFAM:PF00027.35, PFAM:PF00325.26, PFAM:PF13545.12
contig_2	380631	380786	-	BPMOEK_00509	5.9	8.7		
contig_3	3162	3779	+	BPMOEK_00513	22.4	5.3		
contig_3	16142	16684	-	BPMOEK_00523	19.2	5.0	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_3	21767	22015	-	BPMOEK_00528	8.0	4.4		
contig_3	22038	22280	-	BPMOEK_00529	8.8	6.0	PF13396.11|PLDc_N	PFAM:PF13396.11
contig_3	24528	24827	+	BPMOEK_00531	11.2	5.3		SO:0001217, UniRef:UniRef50_D7GH91
contig_3	25323	25556	-	BPMOEK_00532	8.1	8.7		
contig_3	25783	26196	-	BPMOEK_00533	14.5	9.4		
contig_3	31284	31925	+	BPMOEK_00538	23.1	7.0		SO:0001217, UniRef:UniRef50_A0A0B7NTN2
contig_3	31953	32156	-	BPMOEK_00539	7.2	10.5		
contig_3	36856	37173	+	BPMOEK_00543	11.4	8.2		
contig_3	39836	40876	-	BPMOEK_00547	36.1	5.7	PF01497.23|Peripla_BP_2	PFAM:PF01497.23
contig_3	51294	52013	+	BPMOEK_00553	26.1	4.8	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_3	52142	53461	-	BPMOEK_00554	46.2	5.6		
contig_3	55031	55354	+	BPMOEK_00556	11.8	4.5	PF00085.26|Thioredoxin, PF13098.12|Thioredoxin_2, PF13905.12|Thioredoxin_8	PFAM:PF00085.26, PFAM:PF13098.12, PFAM:PF13905.12
contig_3	57075	58610	-	BPMOEK_00559	55.0	4.8	PF00142.24|Fer4_NifH, PF01656.29|CbiA, PF02374.21|ArsA_ATPase, PF06564.18|CBP_BcsQ, PF09140.17|MipZ, PF13614.12|AAA_31	PFAM:PF00142.24, PFAM:PF01656.29, PFAM:PF02374.21, PFAM:PF06564.18, PFAM:PF09140.17, PFAM:PF13614.12
contig_3	60416	61381	-	BPMOEK_00561	34.5	4.1	PF01424.28|R3H	PFAM:PF01424.28
contig_3	62535	62885	-	BPMOEK_00563	12.6	9.4		
contig_3	63316	63453	-	BPMOEK_00565	5.2	12.0		
contig_4	4702	5394	-	BPMOEK_00568	23.9	6.4	PF00005.33|ABC_tran, PF13304.12|AAA_21	PFAM:PF00005.33, PFAM:PF13304.12
contig_4	5391	6236	-	BPMOEK_00569	28.3	4.7		SO:0001217, UniRef:UniRef50_A0A2C7AS16
contig_4	6486	7061	+	BPMOEK_00570	20.8	7.8		
contig_5	7558	8046	+	BPMOEK_00581	17.2	4.7		
contig_5	18049	18360	-	BPMOEK_00588	11.3	6.1	PF05495.17|zf-CHY	PFAM:PF05495.17
contig_5	20893	21789	-	BPMOEK_00590	32.2	5.5		
contig_5	22730	23815	+	BPMOEK_00592	37.6	4.6		SO:0001217, UniRef:UniRef50_D7GGS3
contig_5	30854	31198	+	BPMOEK_00600	12.8	6.7		
contig_5	31281	31835	+	BPMOEK_00601	19.9	4.8		
contig_5	35093	35584	+	BPMOEK_00605	17.6	4.2		
contig_5	37246	37470	-	BPMOEK_00608	8.4	10.0		
contig_5	39637	40347	+	BPMOEK_00611	24.1	9.6	PF08666.17|SAF	PFAM:PF08666.17
contig_5	45029	45253	+	BPMOEK_00616	7.7	5.6		SO:0001217, UniRef:UniRef50_U1F052
contig_5	45228	45650	+	BPMOEK_00617	14.8	5.7		
contig_5	45716	46273	+	BPMOEK_00618	19.5	10.0		
contig_5	46270	48276	+	BPMOEK_00619	65.7	4.3	PF01476.26|LysM	PFAM:PF01476.26
contig_5	48257	50281	-	BPMOEK_00620	71.8	11.1		
contig_5	70136	70501	+	BPMOEK_00637	13.6	4.4		
contig_5	74264	74728	-	BPMOEK_00640	17.3	5.0	PF00011.27|HSP20, PF17886.7|ArsA_HSP20	PFAM:PF00011.27, PFAM:PF17886.7
contig_5	77541	78173	-	BPMOEK_00645	22.4	11.8		
contig_5	78133	78612	-	BPMOEK_00646	16.8	4.5		
contig_5	83127	83654	-	BPMOEK_00649	18.1	6.3		
contig_5	83651	83914	-	BPMOEK_00650	9.0	5.4		
contig_5	85742	86089	+	BPMOEK_00653	12.9	6.7		
contig_5	86140	86673	+	BPMOEK_00654	19.4	9.9		
contig_5	86666	87235	+	BPMOEK_00655	20.0	9.8	PF02899.23|Phage_int_SAM_1	PFAM:PF02899.23
contig_5	87232	87657	+	BPMOEK_00656	15.4	10.0		
contig_5	87784	87951	-	BPMOEK_00657	6.0	4.8		
contig_5	88598	88774	+	BPMOEK_00659	6.1	10.8		
contig_5	92009	92356	+	BPMOEK_00663	12.7	5.1		
contig_5	92539	92730	+	BPMOEK_00664	6.7	11.8		
contig_5	94125	94766	+	BPMOEK_00666	23.8	6.0	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_6	1566	2750	+	BPMOEK_00668	44.6	6.7	PF01420.25|Methylase_S	PFAM:PF01420.25
contig_6	5859	7427	+	BPMOEK_00670	57.2	9.2	PF00929.31|RNase_T	PFAM:PF00929.31
contig_6	10501	11307	-	BPMOEK_00674	29.3	6.0		SO:0001217, UniRef:UniRef50_D7GHP3
contig_6	14135	14860	-	BPMOEK_00677	26.4	5.3		
contig_6	15407	15946	-	BPMOEK_00678	17.4	9.8		
contig_6	15961	17619	+	BPMOEK_00679	55.1	11.3	PF00358.26|PTS_EIIA_1, PF13533.12|Biotin_lipoyl_2	PFAM:PF00358.26, PFAM:PF13533.12
contig_6	22994	23674	+	BPMOEK_00684	24.5	9.3		SO:0001217, UniRef:UniRef50_D7GHS8
contig_6	29257	31077	+	BPMOEK_00689	63.4	6.0	PF00005.33|ABC_tran, PF13304.12|AAA_21, PF13555.12|AAA_29	PFAM:PF00005.33, PFAM:PF13304.12, PFAM:PF13555.12
contig_8	5632	5790	-	BPMOEK_00698	5.6	8.3		
contig_8	6980	7390	+	BPMOEK_00700	14.4	8.3		SO:0001217, UniRef:UniRef50_D7GHF4
contig_8	7427	7885	-	BPMOEK_00701	16.8	4.9	PF10722.14|YbjN	PFAM:PF10722.14
contig_8	7900	8346	-	BPMOEK_00702	15.7	5.0	PF10722.14|YbjN	PFAM:PF10722.14
contig_8	8584	9102	-	BPMOEK_00704	18.1	10.6	PF12089.13|DUF3566	PFAM:PF12089.13
contig_8	12425	13207	-	BPMOEK_00709	27.8	4.8		SO:0001217, UniRef:UniRef50_D7GHE6
contig_8	18776	19252	-	BPMOEK_00712	17.1	4.6		
contig_8	32450	33367	+	BPMOEK_00721	34.1	9.6	PF01061.29|ABC2_membrane	PFAM:PF01061.29
contig_8	38797	39213	-	BPMOEK_00726	14.7	5.0	PF00085.26|Thioredoxin	PFAM:PF00085.26
contig_8	46463	47407	+	BPMOEK_00732	32.8	8.0		
contig_8	57259	58035	-	BPMOEK_00740	28.1	11.7		
contig_8	60715	61461	+	BPMOEK_00743	26.8	5.9		
contig_8	63663	64184	+	BPMOEK_00745	18.8	10.3		
contig_8	75175	76788	+	BPMOEK_00754	58.4	9.0		
contig_8	79416	79556	-	BPMOEK_00760	4.7	10.1		
contig_9	9005	9664	-	BPMOEK_00777	24.3	7.2	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_9	25016	25771	+	BPMOEK_00792	26.0	5.0	PF01487.21|DHquinase_I	PFAM:PF01487.21
contig_9	30030	30386	-	BPMOEK_00795	13.0	9.7	PF11774.14|Lsr2, PF23359.1|Lsr2_DNA-bd	PFAM:PF11774.14, PFAM:PF23359.1
contig_9	31502	31876	-	BPMOEK_00797	13.5	4.8	PF02152.23|FolB	PFAM:PF02152.23
contig_9	34199	36658	-	BPMOEK_00801	88.9	5.3	PF13245.12|AAA_19, PF13401.12|AAA_22, PF13604.12|AAA_30	PFAM:PF13245.12, PFAM:PF13401.12, PFAM:PF13604.12
contig_9	37447	37608	-	BPMOEK_00803	5.9	11.8	PF09179.16|TilS	PFAM:PF09179.16
contig_9	37897	38619	+	BPMOEK_00804	26.6	12.0		
contig_9	44974	45333	-	BPMOEK_00809	12.8	4.4	PF04023.20|FeoA	PFAM:PF04023.20
contig_9	45697	46296	+	BPMOEK_00810	20.9	9.5	PF13399.11|LytR_C	PFAM:PF13399.11
contig_9	47974	49830	-	BPMOEK_00812	63.4	4.1		SO:0001217, UniRef:UniRef50_D7GG01
contig_9	50808	51536	-	BPMOEK_00815	26.3	4.1		
contig_9	53432	53734	-	BPMOEK_00818	10.1	10.0		
contig_9	54735	55007	-	BPMOEK_00819	9.7	6.0	PF00746.26|Gram_pos_anchor, PF17802.7|SpaA	PFAM:PF00746.26, PFAM:PF17802.7
contig_9	67049	67849	+	BPMOEK_00828	28.1	4.6	PF03446.21|NAD_binding_2	PFAM:PF03446.21
contig_9	74147	74452	-	BPMOEK_00834	10.8	4.5		
contig_10	14481	14744	+	BPMOEK_00851	9.0	9.8		
contig_10	25660	26268	-	BPMOEK_00861	22.7	4.6	PF09438.15|DUF2017	PFAM:PF09438.15, SO:0001217, UniRef:UniRef50_D7GCM7
contig_10	37067	37375	-	BPMOEK_00870	10.6	4.9		
contig_10	37814	38869	+	BPMOEK_00871	36.9	11.7	PF02776.23|TPP_enzyme_N	PFAM:PF02776.23
contig_10	48583	49464	-	BPMOEK_00878	32.5	6.8	PF03061.28|4HBT, PF13279.12|4HBT_2, PF20791.3|Acyl-ACP_TE_C	PFAM:PF03061.28, PFAM:PF13279.12, PFAM:PF20791.3, SO:0001217, UniRef:UniRef50_D7GCS3
contig_10	58399	59919	-	BPMOEK_00884	51.8	5.0	PF00381.24|PTS-HPr, PF00391.29|PEP-utilizers	PFAM:PF00381.24, PFAM:PF00391.29
contig_10	63612	64112	-	BPMOEK_00888	17.8	4.9	PF00436.31|SSB	PFAM:PF00436.31
contig_11	876	1754	+	BPMOEK_00900	29.2	4.3		
contig_11	1763	2899	+	BPMOEK_00901	40.8	9.4		
contig_11	3013	3414	+	BPMOEK_00902	13.8	11.1		
contig_11	3411	3635	+	BPMOEK_00903	8.0	5.4		
contig_11	4784	5338	+	BPMOEK_00906	20.2	5.3	PF00430.23|ATP-synt_B	PFAM:PF00430.23
contig_11	10726	11184	+	BPMOEK_00912	16.7	10.3		
contig_11	13958	14236	-	BPMOEK_00916	10.5	10.8		
contig_11	33119	33706	-	BPMOEK_00930	20.9	4.9		
contig_11	38547	38750	+	BPMOEK_00934	7.4	10.3		
contig_11	43177	43677	+	BPMOEK_00939	17.1	11.0		
contig_11	43674	45662	+	BPMOEK_00940	73.1	9.3		
contig_11	58738	59262	+	BPMOEK_00953	19.0	12.0		
contig_11	63266	63679	-	BPMOEK_00958	14.9	5.3	PF01037.27|AsnC_trans_reg, PF13404.12|HTH_AsnC-type, PF13412.12|HTH_24	PFAM:PF01037.27, PFAM:PF13404.12, PFAM:PF13412.12
contig_11	72901	73383	-	BPMOEK_00969	17.6	5.8		
contig_11	77291	77614	+	BPMOEK_00972	11.9	11.2		
contig_11	82910	85099	+	BPMOEK_00976	82.0	5.4		SO:0001217, UniRef:UniRef50_A0A2C8BB75
contig_11	85439	85744	-	BPMOEK_00977	11.0	10.0	PF13601.12|HTH_34	PFAM:PF13601.12
contig_11	89005	89532	-	BPMOEK_00981	17.7	5.4		
contig_11	89472	90506	-	BPMOEK_00982	36.4	9.3		
contig_11	108754	110775	-	BPMOEK_00998	72.5	9.0	PF17764.6|PriA_3primeBD	PFAM:PF17764.6
contig_11	145481	145984	-	BPMOEK_01026	17.9	4.3		
contig_11	156738	157445	-	BPMOEK_01039	24.6	9.3		SO:0001217, UniRef:UniRef50_A0A0A8RW76
contig_11	158294	158458	-	BPMOEK_01041	6.3	10.7	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13542.12|HTH_Tnp_ISL3	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13542.12
contig_11	167067	167411	+	BPMOEK_01052	12.3	5.3	PF02288.20|Dehydratase_MU	PFAM:PF02288.20
contig_11	167428	168045	+	BPMOEK_01053	20.4	4.9	PF00936.24|BMC	PFAM:PF00936.24
contig_11	170530	171615	+	BPMOEK_01058	38.2	5.6	PF01923.23|Cob_adeno_trans	PFAM:PF01923.23
contig_11	194053	194979	-	BPMOEK_01079	31.0	5.4		
contig_11	202204	202698	+	BPMOEK_01086	18.1	5.3		
contig_11	212087	212221	+	BPMOEK_01094	4.8	11.6		
contig_11	214729	215181	+	BPMOEK_01097	16.9	4.9	PF00011.27|HSP20	PFAM:PF00011.27
contig_11	220517	220978	-	BPMOEK_01103	16.6	5.3	PF09424.15|YqeY	PFAM:PF09424.15
contig_11	235787	236329	-	BPMOEK_01117	19.6	10.1		SO:0001217, UniRef:UniRef50_A0A2C7ZV50
contig_11	236410	236919	+	BPMOEK_01118	17.6	4.5		
contig_11	236921	237124	+	BPMOEK_01119	7.2	4.6		
contig_11	237046	237207	-	BPMOEK_01120	5.1	11.8		
contig_11	237183	237659	-	BPMOEK_01121	17.2	5.4		
contig_11	241732	242487	+	BPMOEK_01125	26.9	4.8	PF13794.12|MiaE_2	PFAM:PF13794.12
contig_11	242674	242958	-	BPMOEK_01126	10.1	4.9		
contig_11	263164	264291	-	BPMOEK_01136	39.0	9.4		SO:0001217, UniRef:UniRef50_D7GDA3
contig_11	269127	272066	+	BPMOEK_01142	107.3	6.2		
contig_11	276311	276601	+	BPMOEK_01146	10.5	5.2	PF14542.12|Acetyltransf_CG	PFAM:PF14542.12
contig_11	287419	288231	+	BPMOEK_01158	30.5	10.6	PF09359.15|VTC	PFAM:PF09359.15
contig_11	303097	304392	-	BPMOEK_01170	46.3	10.7		
contig_12	756	1286	+	BPMOEK_01179	18.7	5.8		
contig_12	2216	2830	+	BPMOEK_01181	22.9	4.6	PF00702.32|Hydrolase	PFAM:PF00702.32
contig_12	3359	3814	-	BPMOEK_01183	16.0	9.9		
contig_12	4365	4454	-	BPMOEK_01185	3.1	10.7		
contig_12	4482	5132	-	BPMOEK_01186	22.9	5.4	PF02245.21|Pur_DNA_glyco	PFAM:PF02245.21
contig_12	13293	13931	-	BPMOEK_01194	23.3	5.5	PF00440.29|TetR_N	PFAM:PF00440.29
contig_12	17237	17878	-	BPMOEK_01199	22.9	10.1	PF04977.20|DivIC	PFAM:PF04977.20
contig_12	20218	20751	-	BPMOEK_01202	18.3	6.2		
contig_12	24647	25012	-	BPMOEK_01204	12.7	4.8		
contig_12	35948	38335	-	BPMOEK_01216	82.1	6.1	PF14498.12|Glyco_hyd_65N_2, PF21307.2|Glyco_hydro_95_C, PF22124.2|Glyco_hydro_95_cat	PFAM:PF14498.12, PFAM:PF21307.2, PFAM:PF22124.2, SO:0001217, UniRef:UniRef50_D7GFE8
contig_12	42998	43519	-	BPMOEK_01220	18.5	4.5		
contig_12	45136	45669	+	BPMOEK_01222	19.4	6.8	PF00582.32|Usp	PFAM:PF00582.32
contig_12	46079	46465	+	BPMOEK_01224	13.0	10.6		
contig_12	46525	46998	+	BPMOEK_01225	17.2	5.7	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_12	50237	50830	+	BPMOEK_01228	21.4	6.0	PF00440.29|TetR_N, PF17754.6|TetR_C_14	PFAM:PF00440.29, PFAM:PF17754.6
contig_12	55294	55557	-	BPMOEK_01234	9.0	5.6	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_12	55898	56890	+	BPMOEK_01235	36.9	6.0	PF13676.11|TIR_2	PFAM:PF13676.11, SO:0001217, UniRef:UniRef50_A0A375Z505
contig_12	57987	58196	-	BPMOEK_01236	7.2	8.0		
contig_12	58244	59023	-	BPMOEK_01237	27.0	10.9		SO:0001217, UniRef:UniRef50_D7GFH2
contig_12	61180	61743	+	BPMOEK_01240	20.4	9.9		SO:0001217, UniRef:UniRef50_A0A087CJ67
contig_12	61790	62341	+	BPMOEK_01241	20.2	10.8		
contig_12	63242	63661	-	BPMOEK_01242	15.9	11.1		
contig_12	75088	75822	-	BPMOEK_01252	26.4	4.9		SO:0001217, UniRef:UniRef50_D7GFJ1
contig_12	76712	76957	+	BPMOEK_01254	8.7	4.9		
contig_12	84014	84424	-	BPMOEK_01263	14.4	5.3		
contig_12	86365	86697	+	BPMOEK_01266	11.9	4.7		
contig_12	88421	88780	+	BPMOEK_01269	13.8	4.8		SO:0001217, UniRef:UniRef50_A0A0R1EXN8
