#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	98022	101567	-	FGLLDJ_00090	128.0	5.2	PF02463.25|SMC_N, PF06470.18|SMC_hinge, PF13175.12|AAA_15, PF13304.12|AAA_21, PF13476.12|AAA_23, PF13555.12|AAA_29	PFAM:PF02463.25, PFAM:PF06470.18, PFAM:PF13175.12, PFAM:PF13304.12, PFAM:PF13476.12, PFAM:PF13555.12
contig_1	111090	111578	+	FGLLDJ_00102	17.7	4.8		
contig_1	124570	124767	-	FGLLDJ_00113	7.3	11.7		
contig_1	125974	126447	-	FGLLDJ_00115	17.2	4.9	PF02576.22|RimP_N, PF17384.8|DUF150_C	PFAM:PF02576.22, PFAM:PF17384.8
contig_1	137506	138483	-	FGLLDJ_00126	35.6	5.1		
contig_1	141080	141700	+	FGLLDJ_00129	22.7	5.3	PF01327.26|Pep_deformylase	PFAM:PF01327.26
contig_1	141734	142150	-	FGLLDJ_00130	14.5	9.3		
contig_1	142478	142783	+	FGLLDJ_00131	10.6	4.8		SO:0001217, UniRef:UniRef50_A0A1J6XBV7
contig_1	149801	150694	-	FGLLDJ_00136	32.4	5.5	PF22435.1|MRM3-like_sub_bind	PFAM:PF22435.1
contig_1	152907	153656	+	FGLLDJ_00139	26.2	5.8		SO:0001217, UniRef:UniRef50_D7GEM3
contig_2	1566	2750	+	FGLLDJ_00160	44.6	6.7	PF01420.25|Methylase_S	PFAM:PF01420.25
contig_2	5859	7427	+	FGLLDJ_00162	57.2	9.2	PF00929.31|RNase_T	PFAM:PF00929.31
contig_2	10501	11307	-	FGLLDJ_00166	29.3	6.0		SO:0001217, UniRef:UniRef50_D7GHP3
contig_2	14135	14860	-	FGLLDJ_00169	26.4	5.3		
contig_2	15407	16030	-	FGLLDJ_00170	20.3	10.1		
contig_2	16151	16432	+	FGLLDJ_00171	9.5	11.4		
contig_2	17151	17588	+	FGLLDJ_00172	14.9	5.5	PF00358.26|PTS_EIIA_1	PFAM:PF00358.26
contig_2	22963	23643	+	FGLLDJ_00177	24.5	9.3		SO:0001217, UniRef:UniRef50_D7GHS8
contig_2	29226	31046	+	FGLLDJ_00182	63.4	6.0	PF00005.33|ABC_tran, PF13304.12|AAA_21, PF13555.12|AAA_29	PFAM:PF00005.33, PFAM:PF13304.12, PFAM:PF13555.12
contig_3	2890	3432	-	FGLLDJ_00184	19.6	10.1		SO:0001217, UniRef:UniRef50_A0A2C7ZV50
contig_3	3513	4022	+	FGLLDJ_00185	17.6	4.5		
contig_3	4024	4227	+	FGLLDJ_00186	7.2	4.6		
contig_3	4149	4310	-	FGLLDJ_00187	5.1	11.8		
contig_3	4286	4762	-	FGLLDJ_00188	17.2	5.4		
contig_3	8835	9590	+	FGLLDJ_00192	26.9	4.8	PF13794.12|MiaE_2	PFAM:PF13794.12
contig_3	9777	10061	-	FGLLDJ_00193	10.1	4.9		
contig_3	30267	31292	-	FGLLDJ_00203	35.4	9.1		SO:0001217, UniRef:UniRef50_D7GDA3
contig_3	36230	39169	+	FGLLDJ_00209	107.3	6.2		
contig_3	43414	43704	+	FGLLDJ_00213	10.5	5.2	PF14542.12|Acetyltransf_CG	PFAM:PF14542.12
contig_3	54522	55334	+	FGLLDJ_00225	30.5	10.6	PF09359.15|VTC	PFAM:PF09359.15
contig_3	70200	71495	-	FGLLDJ_00237	46.3	10.7		
contig_3	82526	83404	+	FGLLDJ_00248	29.2	4.3		
contig_3	83413	84549	+	FGLLDJ_00249	40.8	9.4		
contig_3	84663	85064	+	FGLLDJ_00250	13.8	11.1		
contig_3	85061	85285	+	FGLLDJ_00251	8.0	5.4		
contig_3	86434	86988	+	FGLLDJ_00254	20.2	5.3	PF00430.23|ATP-synt_B	PFAM:PF00430.23
contig_3	92376	92834	+	FGLLDJ_00260	16.7	10.3		
contig_3	95608	95886	-	FGLLDJ_00264	10.5	10.8		
contig_3	114769	115356	-	FGLLDJ_00278	20.9	4.9		
contig_3	120197	120400	+	FGLLDJ_00282	7.4	10.3		
contig_3	124827	125327	+	FGLLDJ_00287	17.1	11.0		
contig_3	125324	127312	+	FGLLDJ_00288	73.1	9.3		
contig_3	137821	139215	+	FGLLDJ_00299	50.7	5.6	PF01381.28|HTH_3	PFAM:PF01381.28
contig_3	139161	139289	+	FGLLDJ_00300	4.6	4.4		
contig_3	140387	140911	+	FGLLDJ_00302	19.0	12.0		
contig_3	144915	145328	-	FGLLDJ_00307	14.9	5.3	PF01037.27|AsnC_trans_reg, PF13404.12|HTH_AsnC-type, PF13412.12|HTH_24	PFAM:PF01037.27, PFAM:PF13404.12, PFAM:PF13412.12
contig_3	154550	155032	-	FGLLDJ_00318	17.6	5.8		
contig_3	158940	159263	+	FGLLDJ_00321	11.9	11.2		
contig_3	164559	166748	+	FGLLDJ_00325	82.0	5.4		SO:0001217, UniRef:UniRef50_A0A2C8BB75
contig_3	167088	167393	-	FGLLDJ_00326	11.0	10.0	PF13601.12|HTH_34	PFAM:PF13601.12
contig_3	170654	171181	-	FGLLDJ_00330	17.7	5.4		
contig_3	171121	172155	-	FGLLDJ_00331	36.4	9.3		
contig_3	190403	192424	-	FGLLDJ_00347	72.5	9.0	PF17764.6|PriA_3primeBD	PFAM:PF17764.6
contig_3	227130	227633	-	FGLLDJ_00375	17.9	4.3		
contig_3	238387	238947	-	FGLLDJ_00388	19.6	6.3		
contig_3	249624	250232	+	FGLLDJ_00397	22.7	4.6	PF09438.15|DUF2017	PFAM:PF09438.15, SO:0001217, UniRef:UniRef50_D7GCM7
contig_3	261148	261411	-	FGLLDJ_00407	9.0	9.8		
contig_3	288694	289194	+	FGLLDJ_00434	17.8	4.9	PF00436.31|SSB	PFAM:PF00436.31
contig_3	292887	294407	+	FGLLDJ_00438	51.8	5.0	PF00381.24|PTS-HPr, PF00391.29|PEP-utilizers	PFAM:PF00381.24, PFAM:PF00391.29
contig_3	303342	304223	+	FGLLDJ_00444	32.5	6.8	PF03061.28|4HBT, PF13279.12|4HBT_2, PF20791.3|Acyl-ACP_TE_C	PFAM:PF03061.28, PFAM:PF13279.12, PFAM:PF20791.3, SO:0001217, UniRef:UniRef50_D7GCS3
contig_3	315592	315756	+	FGLLDJ_00453	6.3	10.7	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13542.12|HTH_Tnp_ISL3	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13542.12
contig_3	316575	318128	-	FGLLDJ_00455	54.7	4.8		SO:0001217, UniRef:UniRef50_D7GCT4
contig_3	318363	318554	-	FGLLDJ_00456	6.8	11.8		
contig_3	327144	327488	-	FGLLDJ_00466	12.4	11.2		SO:0001217, UniRef:UniRef50_A0A375I2Y1
contig_3	344573	345028	+	FGLLDJ_00480	16.7	6.9	PF01047.28|MarR	PFAM:PF01047.28
contig_3	346098	348884	+	FGLLDJ_00482	101.2	6.3		
contig_3	352650	353318	+	FGLLDJ_00487	24.1	8.3		
contig_3	354643	355413	+	FGLLDJ_00489	28.0	5.1	PF01467.32|CTP_transf_like	PFAM:PF01467.32
contig_3	355410	355793	+	FGLLDJ_00490	14.1	4.6		
contig_3	355793	356401	+	FGLLDJ_00491	21.6	5.3	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_3	358236	358976	-	FGLLDJ_00495	25.3	5.1		
contig_3	369788	370582	+	FGLLDJ_00502	27.6	5.2		
contig_3	370579	370785	+	FGLLDJ_00503	7.3	11.6		
contig_3	370829	371491	-	FGLLDJ_00504	24.3	11.5		
contig_3	377092	377868	+	FGLLDJ_00510	27.9	5.3		
contig_3	385668	386162	+	FGLLDJ_00518	17.5	10.6		
contig_3	391802	392410	+	FGLLDJ_00524	22.3	5.3		SO:0001217, UniRef:UniRef50_A0A1H9Q6B8
contig_3	392521	392655	+	FGLLDJ_00525	4.7	9.9		
contig_3	401954	402118	-	FGLLDJ_00534	6.3	10.7	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13542.12|HTH_Tnp_ISL3	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13542.12
contig_3	410727	411071	+	FGLLDJ_00545	12.3	5.3	PF02288.20|Dehydratase_MU	PFAM:PF02288.20
contig_3	411088	411705	+	FGLLDJ_00546	20.4	4.9	PF00936.24|BMC	PFAM:PF00936.24
contig_3	414190	415275	+	FGLLDJ_00551	38.2	5.6	PF01923.23|Cob_adeno_trans	PFAM:PF01923.23
contig_3	437713	438639	-	FGLLDJ_00572	31.0	5.4		
contig_3	445864	446358	+	FGLLDJ_00579	18.1	5.3		
contig_3	455747	455881	+	FGLLDJ_00587	4.8	11.6		
contig_3	458389	458841	+	FGLLDJ_00590	16.9	4.9	PF00011.27|HSP20	PFAM:PF00011.27
contig_3	464177	464638	-	FGLLDJ_00596	16.6	5.3	PF09424.15|YqeY	PFAM:PF09424.15
contig_4	3167	3427	+	FGLLDJ_00611	9.3	6.3	PF20555.3|DUF6767	PFAM:PF20555.3
contig_4	5179	5886	-	FGLLDJ_00614	24.2	5.1		
contig_4	5868	6152	-	FGLLDJ_00615	9.8	5.2		
contig_4	12700	13230	+	FGLLDJ_00620	19.1	9.0		SO:0001217, UniRef:UniRef50_A0A7X7V7E9
contig_4	16682	17281	-	FGLLDJ_00623	21.8	4.5		
contig_4	29283	30017	+	FGLLDJ_00640	25.9	5.3		
contig_4	31166	31900	+	FGLLDJ_00643	27.1	9.0		
contig_4	31902	32363	+	FGLLDJ_00644	16.6	4.1	PF02577.19|BFN_dom	PFAM:PF02577.19
contig_4	40646	41260	-	FGLLDJ_00650	22.4	9.0	PF00440.29|TetR_N	PFAM:PF00440.29
contig_4	42803	45388	-	FGLLDJ_00653	90.5	6.0	PF00155.27|Aminotran_1_2, PF01656.29|CbiA, PF07685.20|GATase_3, PF13500.12|AAA_26	PFAM:PF00155.27, PFAM:PF01656.29, PFAM:PF07685.20, PFAM:PF13500.12
contig_4	45981	47426	-	FGLLDJ_00655	51.7	4.9	PF01656.29|CbiA, PF07685.20|GATase_3, PF13500.12|AAA_26	PFAM:PF01656.29, PFAM:PF07685.20, PFAM:PF13500.12
contig_4	50938	51795	+	FGLLDJ_00659	29.9	4.7		
contig_4	52068	52772	+	FGLLDJ_00661	24.6	10.1		
contig_4	52879	53835	-	FGLLDJ_00662	32.7	5.2		
contig_4	55643	55975	-	FGLLDJ_00664	11.5	6.8		
contig_4	56878	58746	+	FGLLDJ_00666	68.2	6.2	PF01807.25|Zn_ribbon_DnaG, PF08275.17|DNAG_N, PF08278.16|DnaG_DnaB_bind, PF10410.14|DnaB_bind, PF13662.12|Toprim_4	PFAM:PF01807.25, PFAM:PF08275.17, PFAM:PF08278.16, PFAM:PF10410.14, PFAM:PF13662.12
contig_4	59753	60319	+	FGLLDJ_00668	20.4	5.6		SO:0001217, UniRef:UniRef50_D7GDW6
contig_4	62088	62510	+	FGLLDJ_00671	14.6	7.8		
contig_4	63246	63863	-	FGLLDJ_00673	21.9	10.5		
contig_4	74517	75377	+	FGLLDJ_00684	30.4	5.0	PF00218.27|IGPS, PF01070.24|FMN_dh	PFAM:PF00218.27, PFAM:PF01070.24
contig_4	84618	85289	-	FGLLDJ_00690	22.6	11.4	PF03729.18|DUF308	PFAM:PF03729.18, SO:0001217, UniRef:UniRef50_D7GDU5
contig_4	89050	89595	-	FGLLDJ_00692	19.0	10.3		
contig_4	96318	96905	-	FGLLDJ_00699	20.8	5.0		
contig_4	122045	122212	-	FGLLDJ_00721	6.5	5.5		
contig_4	123642	124256	+	FGLLDJ_00723	22.6	9.6	PF02631.22|RecX_HTH2, PF21982.2|RecX_HTH1	PFAM:PF02631.22, PFAM:PF21982.2
contig_4	124418	125953	+	FGLLDJ_00724	55.8	5.3	PF00013.35|KH_1, PF12072.13|RNase_Y_N	PFAM:PF00013.35, PFAM:PF12072.13
contig_4	135062	135829	+	FGLLDJ_00732	24.7	11.8		SO:0001217, UniRef:UniRef50_A0A2C7ZAN3
contig_4	155259	156152	-	FGLLDJ_00744	32.7	5.1		
contig_4	156121	156600	-	FGLLDJ_00745	17.0	9.0		
contig_4	157069	157872	+	FGLLDJ_00746	29.0	5.3	PF00532.27|Peripla_BP_1, PF13377.12|Peripla_BP_3	PFAM:PF00532.27, PFAM:PF13377.12
contig_4	159263	160792	+	FGLLDJ_00748	55.7	9.0	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4	PFAM:PF04542.20, PFAM:PF04545.22
contig_4	161990	162181	-	FGLLDJ_00750	6.8	8.6	PF24254.1|DUF7455	PFAM:PF24254.1
contig_4	173122	173442	-	FGLLDJ_00759	11.1	9.4		
contig_4	174550	174930	+	FGLLDJ_00761	13.8	10.7		
contig_5	1	684	+	FGLLDJ_00764	23.0	5.3		
contig_5	2001	2876	-	FGLLDJ_00766	31.6	5.3		
contig_6	2353	3006	+	FGLLDJ_00769	23.2	4.8		
contig_6	3003	3293	+	FGLLDJ_00770	10.5	4.1	PF22743.1|PspAA	PFAM:PF22743.1
contig_7	5747	6070	+	FGLLDJ_00777	11.1	10.0		
contig_7	6117	6614	+	FGLLDJ_00778	17.0	7.8		
contig_7	8036	8422	-	FGLLDJ_00780	13.8	5.2		
contig_7	16296	16586	-	FGLLDJ_00790	11.0	5.0	PF02910.25|Succ_DH_flav_C	PFAM:PF02910.25
contig_7	16640	18058	-	FGLLDJ_00791	50.7	5.7	PF00905.27|Transpeptidase, PF03717.20|PBP_dimer	PFAM:PF00905.27, PFAM:PF03717.20
contig_7	18048	18245	-	FGLLDJ_00792	7.4	6.1		
contig_7	34325	34501	-	FGLLDJ_00804	6.1	11.2		
contig_7	36051	36779	-	FGLLDJ_00808	27.6	9.4	PF00707.27|IF3_C, PF05198.21|IF3_N	PFAM:PF00707.27, PFAM:PF05198.21
contig_7	37085	37567	+	FGLLDJ_00809	16.8	10.9		
contig_8	2489	4174	+	FGLLDJ_00814	60.4	7.9	PF01266.30|DAO, PF07992.20|Pyr_redox_2, PF13450.12|NAD_binding_8	PFAM:PF01266.30, PFAM:PF07992.20, PFAM:PF13450.12
contig_8	13515	13739	-	FGLLDJ_00824	7.5	4.1		
contig_8	14527	15084	-	FGLLDJ_00825	19.6	5.6		
contig_8	21433	22704	-	FGLLDJ_00830	45.4	5.1		
contig_8	22854	24203	+	FGLLDJ_00831	48.4	5.6		
contig_8	28634	29152	-	FGLLDJ_00837	18.9	4.6	PF04266.20|ASCH	PFAM:PF04266.20
contig_8	38423	38953	+	FGLLDJ_00846	18.7	5.8		
contig_8	39883	40497	+	FGLLDJ_00848	22.9	4.6	PF00702.32|Hydrolase	PFAM:PF00702.32
contig_8	41026	41481	-	FGLLDJ_00850	16.0	9.9		
contig_8	42032	42121	-	FGLLDJ_00852	3.1	10.7		
contig_8	42149	42799	-	FGLLDJ_00853	22.9	5.4	PF02245.21|Pur_DNA_glyco	PFAM:PF02245.21
contig_8	50960	51598	-	FGLLDJ_00861	23.3	5.5	PF00440.29|TetR_N	PFAM:PF00440.29
contig_8	54904	55545	-	FGLLDJ_00866	22.9	10.1	PF04977.20|DivIC	PFAM:PF04977.20
contig_8	57885	58418	-	FGLLDJ_00869	18.3	6.2		
contig_8	62314	62679	-	FGLLDJ_00871	12.7	4.8		
contig_8	73615	73965	-	FGLLDJ_00883	12.1	6.6	PF21307.2|Glyco_hydro_95_C	PFAM:PF21307.2
contig_8	74284	74784	+	FGLLDJ_00884	17.8	6.5	PF00248.27|Aldo_ket_red	PFAM:PF00248.27
contig_8	80791	81381	+	FGLLDJ_00889	19.4	6.2		
contig_8	81472	82056	+	FGLLDJ_00890	20.5	4.6	PF00440.29|TetR_N, PF02909.22|TetR_C_1	PFAM:PF00440.29, PFAM:PF02909.22
contig_8	86096	86833	+	FGLLDJ_00893	26.1	8.9	PF17844.6|SCP_3	PFAM:PF17844.6
contig_8	98555	99118	+	FGLLDJ_00905	21.2	4.7		
contig_8	105942	106334	-	FGLLDJ_00913	13.8	4.7		
contig_8	116265	116711	+	FGLLDJ_00923	17.2	5.8		SO:0001217, UniRef:UniRef50_D7GF18
contig_8	124285	124917	-	FGLLDJ_00929	22.7	8.9	PF01047.28|MarR, PF13463.12|HTH_27	PFAM:PF01047.28, PFAM:PF13463.12
contig_8	128514	128756	-	FGLLDJ_00934	8.7	11.1		
contig_8	132388	132612	+	FGLLDJ_00938	8.5	11.1		
contig_8	142695	142910	+	FGLLDJ_00946	8.6	5.6		
contig_8	147337	147735	-	FGLLDJ_00952	14.0	4.7	PF01266.30|DAO	PFAM:PF01266.30
contig_8	147689	148591	-	FGLLDJ_00953	31.9	6.2	PF00070.33|Pyr_redox, PF01266.30|DAO, PF07992.20|Pyr_redox_2, PF13450.12|NAD_binding_8	PFAM:PF00070.33, PFAM:PF01266.30, PFAM:PF07992.20, PFAM:PF13450.12
contig_9	4702	5394	-	FGLLDJ_00957	23.9	6.4	PF00005.33|ABC_tran, PF13304.12|AAA_21	PFAM:PF00005.33, PFAM:PF13304.12
contig_9	5391	6236	-	FGLLDJ_00958	28.3	4.7		SO:0001217, UniRef:UniRef50_A0A2C7AS16
contig_10	5745	5939	-	FGLLDJ_00966	6.9	10.0		
contig_10	5952	8543	+	FGLLDJ_00967	90.9	5.0	PF13558.12|SbcC_Walker_B	PFAM:PF13558.12
contig_11	697	1956	-	FGLLDJ_00970	43.3	6.3	PF00905.27|Transpeptidase, PF03793.24|PASTA	PFAM:PF00905.27, PFAM:PF03793.24
contig_12	4993	5394	+	FGLLDJ_00975	14.0	4.5		
contig_12	12621	13634	+	FGLLDJ_00981	36.2	7.7	PF09335.16|VTT_dom	PFAM:PF09335.16, SO:0001217, UniRef:UniRef50_D7GFN6
contig_12	36370	37269	+	FGLLDJ_00997	32.7	5.1	PF00395.25|SLH	PFAM:PF00395.25
contig_12	41502	42530	-	FGLLDJ_01000	35.0	5.7		
contig_12	43147	43926	+	FGLLDJ_01002	27.7	4.7		
contig_12	44004	44345	-	FGLLDJ_01003	12.1	9.8		
contig_12	46115	46501	+	FGLLDJ_01005	12.5	12.0		
contig_12	48635	48970	+	FGLLDJ_01008	12.2	4.2	PF00085.26|Thioredoxin, PF13098.12|Thioredoxin_2, PF13905.12|Thioredoxin_8	PFAM:PF00085.26, PFAM:PF13098.12, PFAM:PF13905.12
contig_12	49135	49494	-	FGLLDJ_01009	13.8	4.8		SO:0001217, UniRef:UniRef50_A0A0R1EXN8
contig_12	51218	51550	-	FGLLDJ_01012	11.9	4.7		
contig_12	53491	53901	+	FGLLDJ_01015	14.4	5.3		
contig_12	60958	61203	-	FGLLDJ_01024	8.7	4.9		
contig_12	62093	62827	+	FGLLDJ_01026	26.4	4.9		SO:0001217, UniRef:UniRef50_D7GFJ1
contig_12	74254	74673	+	FGLLDJ_01036	15.9	11.1		
contig_12	75574	76125	-	FGLLDJ_01037	20.2	10.8		
contig_12	76172	76735	-	FGLLDJ_01038	20.4	9.9		SO:0001217, UniRef:UniRef50_A0A087CJ67
contig_12	78892	79671	+	FGLLDJ_01041	27.0	10.9		SO:0001217, UniRef:UniRef50_D7GFH2
contig_12	79719	79928	+	FGLLDJ_01042	7.2	8.0		
contig_12	81025	81978	-	FGLLDJ_01043	35.4	5.7	PF13676.11|TIR_2	PFAM:PF13676.11, SO:0001217, UniRef:UniRef50_A0A375Z505
contig_12	82358	82621	+	FGLLDJ_01044	9.0	5.6	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_12	87085	87678	-	FGLLDJ_01050	21.4	6.0	PF00440.29|TetR_N, PF17754.6|TetR_C_14	PFAM:PF00440.29, PFAM:PF17754.6
contig_12	90917	91390	-	FGLLDJ_01053	17.2	5.7	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_12	91450	91836	-	FGLLDJ_01054	13.0	10.6		
contig_12	92246	92779	-	FGLLDJ_01056	19.4	6.8	PF00582.32|Usp	PFAM:PF00582.32
contig_12	94396	94917	+	FGLLDJ_01058	18.5	4.5		
contig_12	99580	101967	+	FGLLDJ_01062	82.1	6.1	PF14498.12|Glyco_hyd_65N_2, PF21307.2|Glyco_hydro_95_C, PF22124.2|Glyco_hydro_95_cat	PFAM:PF14498.12, PFAM:PF21307.2, PFAM:PF22124.2, SO:0001217, UniRef:UniRef50_D7GFE8
contig_12	103065	103364	+	FGLLDJ_01064	10.9	10.3		
contig_12	115202	115393	-	FGLLDJ_01075	7.1	4.9		
contig_12	121011	121190	-	FGLLDJ_01081	5.9	10.0		
contig_12	129989	130204	+	FGLLDJ_01090	7.6	11.9		
contig_12	145847	146473	+	FGLLDJ_01102	23.1	11.6		
contig_12	147978	148253	+	FGLLDJ_01104	9.0	5.9		
contig_12	148214	148381	-	FGLLDJ_01105	6.1	8.0		
contig_12	149827	151119	-	FGLLDJ_01107	43.6	11.6		SO:0001217, UniRef:UniRef50_D7GFU3
contig_12	163473	163820	+	FGLLDJ_01117	12.5	9.1		
contig_12	186505	186876	+	FGLLDJ_01135	12.4	5.4	PF00364.28|Biotin_lipoyl, PF13533.12|Biotin_lipoyl_2	PFAM:PF00364.28, PFAM:PF13533.12
contig_13	10174	10833	-	FGLLDJ_01162	24.3	7.2	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_13	26185	26940	+	FGLLDJ_01177	26.0	5.0	PF01487.21|DHquinase_I	PFAM:PF01487.21
contig_13	31199	31555	-	FGLLDJ_01180	13.0	9.7	PF11774.14|Lsr2, PF23359.1|Lsr2_DNA-bd	PFAM:PF11774.14, PFAM:PF23359.1
contig_13	32671	33045	-	FGLLDJ_01182	13.5	4.8	PF02152.23|FolB	PFAM:PF02152.23
contig_13	35368	35742	-	FGLLDJ_01186	13.1	5.1		
contig_13	42028	42387	-	FGLLDJ_01191	12.8	4.4	PF04023.20|FeoA	PFAM:PF04023.20
contig_13	42751	43350	+	FGLLDJ_01192	20.9	9.5	PF13399.11|LytR_C	PFAM:PF13399.11
contig_13	45028	46884	-	FGLLDJ_01194	63.4	4.1		SO:0001217, UniRef:UniRef50_D7GG01
contig_13	47862	48590	-	FGLLDJ_01197	26.3	4.1		
contig_13	50486	50788	-	FGLLDJ_01200	10.1	10.0		
contig_13	51789	52061	-	FGLLDJ_01201	9.7	6.0	PF00746.26|Gram_pos_anchor, PF17802.7|SpaA	PFAM:PF00746.26, PFAM:PF17802.7
contig_13	64103	64903	+	FGLLDJ_01210	28.1	4.6	PF03446.21|NAD_binding_2	PFAM:PF03446.21
contig_14	3162	3779	+	FGLLDJ_01218	22.4	5.3		
contig_14	12613	13389	-	FGLLDJ_01224	28.1	11.7		
contig_14	16069	16815	+	FGLLDJ_01227	26.8	5.9		
contig_14	19017	19538	+	FGLLDJ_01229	18.8	10.3		
contig_14	30529	32142	+	FGLLDJ_01238	58.4	9.0		
contig_14	34770	34910	-	FGLLDJ_01244	4.7	10.1		
contig_14	52379	52537	-	FGLLDJ_01256	5.6	8.3		
contig_14	53727	54137	+	FGLLDJ_01258	14.4	8.3		SO:0001217, UniRef:UniRef50_D7GHF4
contig_14	54174	54632	-	FGLLDJ_01259	16.8	4.9	PF10722.14|YbjN	PFAM:PF10722.14
contig_14	54647	55093	-	FGLLDJ_01260	15.7	5.0	PF10722.14|YbjN	PFAM:PF10722.14
contig_14	55331	55849	-	FGLLDJ_01262	18.1	10.6	PF12089.13|DUF3566	PFAM:PF12089.13
contig_14	59172	59954	-	FGLLDJ_01267	27.8	4.8		SO:0001217, UniRef:UniRef50_D7GHE6
contig_14	65523	65999	-	FGLLDJ_01270	17.1	4.6		
contig_14	79197	80114	+	FGLLDJ_01279	34.1	9.6	PF01061.29|ABC2_membrane	PFAM:PF01061.29
contig_14	85544	85960	-	FGLLDJ_01284	14.7	5.0	PF00085.26|Thioredoxin	PFAM:PF00085.26
contig_14	96008	96307	+	FGLLDJ_01292	11.2	5.3		SO:0001217, UniRef:UniRef50_D7GH91
contig_14	96803	97036	-	FGLLDJ_01293	8.1	8.7		
contig_14	97263	97676	-	FGLLDJ_01294	14.5	9.4		
contig_14	102764	103405	+	FGLLDJ_01299	23.1	7.0		SO:0001217, UniRef:UniRef50_A0A0B7NTN2
contig_14	103433	103636	-	FGLLDJ_01300	7.2	10.5		
contig_14	108336	108653	+	FGLLDJ_01304	11.4	8.2		
contig_14	111316	112356	-	FGLLDJ_01308	36.1	5.7	PF01497.23|Peripla_BP_2	PFAM:PF01497.23
contig_14	122774	123493	+	FGLLDJ_01314	26.1	4.8	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_14	123622	124941	-	FGLLDJ_01315	46.2	5.6		
contig_14	126511	126834	+	FGLLDJ_01317	11.8	4.5	PF00085.26|Thioredoxin, PF13098.12|Thioredoxin_2, PF13905.12|Thioredoxin_8	PFAM:PF00085.26, PFAM:PF13098.12, PFAM:PF13905.12
contig_14	128555	130090	-	FGLLDJ_01320	55.0	4.8	PF00142.24|Fer4_NifH, PF01656.29|CbiA, PF02374.21|ArsA_ATPase, PF06564.18|CBP_BcsQ, PF09140.17|MipZ, PF13614.12|AAA_31	PFAM:PF00142.24, PFAM:PF01656.29, PFAM:PF02374.21, PFAM:PF06564.18, PFAM:PF09140.17, PFAM:PF13614.12
contig_14	131896	132861	-	FGLLDJ_01322	34.5	4.1	PF01424.28|R3H	PFAM:PF01424.28
contig_14	134015	134365	-	FGLLDJ_01324	12.6	9.4		
contig_14	134796	134933	-	FGLLDJ_01326	5.2	12.0		
contig_15	7282	7485	+	FGLLDJ_01333	7.5	4.9		
contig_15	13485	13637	+	FGLLDJ_01338	5.6	4.3		
